./Products/Abstraction/p5absccsdt.log :  CCSD(T)=-343.0443503
./Products/Abstraction/P6absccsdt.log :  CCSD(T)=-343.0966834
./Products/Abstraction/p7absccsdt.log :  CCSD(T)=-343.0902753
./Products/Addition/p1addccsdt.log :  CCSD(T)=-419.412603
./Products/Addition/p2addccsdt.log :  CCSD(T)=-419.422993
./Products/Addition/p3addccsdt.log :  CCSD(T)=-419.412603
./Products/Addition/p4addccsdt.log :  CCSD(T)=-419.4175373
./Products/H2OPRODUCT_CCSDT.log :  1|1|UNPC-DIT|SP|RCCSD(T)-FC|6-311++G(d,p)|H2O1|NDITM|10-Mar-2025|0||#ccsd(t)/6-311++g(d,p)sp||TitleCardRequired||0,1|O,0,0.,0.,0.116598|H,0,0.,0.761666,-0.466391|H,0,0.,-0.761666,-0.466391||Version=IA32W-G09RevD.01|State=1-A1|HF=-76.0527349|MP2=-76.2748551|MP3=-76.2774998|MP4D=-76.2815604|MP4DQ=-76.279511|MP4SDQ=-76.2813629|CCSD=-76.2812137|CCSD(T)=-76.286541|RMSD=2.819e-009|PG=C02V[C2(O1),SGV(H2)]||@
./Reactants/ethyl_propiolate_non_planar_2_ccsdt.log :  CCSD(T)=-343.7604601
./Transition_states/Abstraction/ts7absccsdt.log :  CCSD(T)=-419.3229617
./Transition_states/Abstraction/ts8absccsdt.log :  CCSD(T)=-419.348949
./Transition_states/Abstraction/ts9absccsdt.log :  CCSD(T)=-419.3498845
./Transition_states/Addition/ts1addccsdt.log :  CCSD(T)=-419.3535693
./Transition_states/Addition/ts2addccsdt.log :  CCSD(T)=-419.3548828
./Transition_states/Addition/ts3addccsdt.log :  CCSD(T)=-419.353085
./Transition_states/Addition/ts4addccsdt.log :  CCSD(T)=-419.3544081
./Transition_states/Addition/ts5addccsdt.log :  CCSD(T)=-419.3535694
./Transition_states/Addition/ts6addccsdt.log :  CCSD(T)=-419.3530743
